Date, Open, High, Low, Close, Volume
1/2/2024,95.5,98,94.5,96.9,120591
12/29/2023,94.5,95.6,94.5,95.5,383942
12/28/2023,93.1,94.5,92.9,94.3,645804
12/27/2023,92.4,94,91.7,93.1,78872
12/22/2023,92.8,93.5,92.6,92.9,120088
12/21/2023,93.7,94.2,93,93.2,82579
12/20/2023,93.6,94,93.4,93.7,118865
12/19/2023,93.4,94.1,93.4,93.9,290798
12/18/2023,93.5,94.1,93.4,93.9,491469
12/15/2023,93.9,94.5,93,93.9,304923
12/14/2023,94,94.9,93,93.6,96105
12/13/2023,95.4,95.4,93.1,94.4,273412
12/12/2023,94.8,95.1,94.3,95,362550
12/11/2023,94,94.5,93.7,94.2,350015
12/8/2023,92,94,92,93.9,235422
12/7/2023,90,92,90,91.8,207025
12/6/2023,90,90.4,89.5,90,220567
12/5/2023,91,91.5,89.1,89.7,212106
12/4/2023,90.8,92.5,90.2,90.9,92562
12/1/2023,87.9,90.1,87.9,89.9,355311
11/30/2023,86,88,86,87.1,279189
11/29/2023,85.5,86,85.3,85.7,274886
11/28/2023,85.4,85.5,84.5,85.5,67100
11/27/2023,85,85.5,85,85.3,300505
11/24/2023,85.5,86,84.5,84.7,120311
11/23/2023,85.2,85.5,84,85,212762
11/22/2023,82.7,85,82.7,84.7,415563
11/21/2023,83.4,84.5,83,84,252339
11/20/2023,85,85,82.9,83,142711
11/17/2023,85.5,85.5,83.8,84.5,253390
11/16/2023,84.5,85.9,82.5,84.5,97817
11/15/2023,86.5,86.5,83,84.9,48845
11/14/2023,87.4,87.7,85,85.1,67953
11/13/2023,86.2,87.5,85.5,87,85238
11/10/2023,86.7,87,85.5,86,835451
11/9/2023,88,88,86,86.5,709199
11/8/2023,85,88.9,85,86.9,440085
11/7/2023,84.9,86,84,85,202295
11/6/2023,84.4,85.9,83.9,84,40550
11/3/2023,84.9,85.4,84,84.7,70637
11/2/2023,83.5,86,83.5,84.5,304888
11/1/2023,83.3,84.2,82.5,83.8,70039
10/31/2023,82.5,83.2,81.6,82.2,44765
10/30/2023,83.5,83.5,82,82.9,27140
10/27/2023,81.5,83.9,81,83.1,140888
10/26/2023,82.5,84,81,82.2,44129
10/25/2023,84.9,84.9,82.6,82.9,7095
10/24/2023,87.3,87.5,84.5,84.9,53452
10/23/2023,86.8,88.8,86.5,86.8,266261
10/20/2023,81.7,87.3,81.7,86.8,162190
10/19/2023,80.1,82.5,80,81.7,271914
10/18/2023,80,80.8,80,80.5,186428
10/17/2023,80.3,82.9,80.3,80.8,249131
10/16/2023,84,84,80.3,80.4,291608
10/13/2023,84.5,85,84,84,47238
10/12/2023,83.5,85,82.6,84.3,63818
10/11/2023,84.9,85.9,83,83.5,270137
10/10/2023,85,86.9,84,84.5,252894
10/9/2023,86.3,87,83.5,84.6,341682
10/6/2023,88,88,86.1,86.8,24331
10/5/2023,87.8,88.8,86.5,87.2,69603
10/4/2023,87.1,87.8,86.1,87.3,96817
10/3/2023,88,89.9,87.2,87.6,59184
10/2/2023,90,90,87.8,88,100346
9/27/2023,89,91.1,88.9,90.2,141202
9/26/2023,88.5,89,87.8,88.1,135264
9/25/2023,89.5,90,88,88.1,45409
9/22/2023,88,90.2,87.6,89.8,66034
9/21/2023,89.9,89.9,87.6,88,52475
9/20/2023,88.5,89.5,88,89,643824
9/19/2023,90,90,87,87.3,197486
9/18/2023,92.5,92.5,89.5,90,183641
9/15/2023,93,93,91,91.2,130682
9/14/2023,91,93,91,92,73643
9/13/2023,91,92,90.1,91.5,547373
9/12/2023,92,92,90,90.4,189696
9/11/2023,92.8,92.9,90.4,90.5,61359
9/8/2023,92.1,93,92.1,92.8,132256
9/7/2023,93,93,90.1,92.1,135448
9/6/2023,95,95.4,92,92.2,283191
9/5/2023,93.5,96,93.3,95,1447012
9/4/2023,90,93.9,89.9,93.3,583695
9/1/2023,86.5,90,86.5,88.4,277325
8/31/2023,87.4,87.9,86.5,86.6,47446
8/29/2023,87,87.1,86.4,87,200701
8/28/2023,87.3,87.5,86.5,87,844341
8/25/2023,89.6,89.6,80,87,294307
8/24/2023,93.5,93.5,89.5,90.2,914560
8/23/2023,90,94,89.5,93.1,1706011
8/22/2023,91.1,91.4,89.3,90,383293
8/21/2023,93.5,95,91.4,92.2,713074
8/18/2023,96,96,93.1,93.6,258047
8/17/2023,97.3,97.3,95,95.9,378220
8/16/2023,93,97,92.5,96.7,1959053
8/15/2023,95,96.9,92.6,93,347080
8/14/2023,102,102,95,97.1,424242
8/11/2023,105.5,105.5,102.25,103,189379
8/10/2023,105,107.5,104.5,105,511686
8/9/2023,105,105,103.25,104,459283
8/8/2023,103.5,106.75,101,105,1730366
8/7/2023,100,105,99,103.5,1488934
8/4/2023,100,101.75,100,101.25,1625961
8/3/2023,96,100.75,95.9,100,2884844
8/2/2023,93,97,92.1,95.5,1661623
7/31/2023,93,93.6,92,92.9,451754
7/28/2023,92.6,94.2,92,92.7,806602
7/27/2023,87.6,93,87.6,92.6,940607
7/26/2023,88.7,89.4,88,88.4,262156
7/25/2023,88.2,89.7,87.6,88.8,1039988
7/24/2023,87.6,90.6,87.6,89.8,973673
7/21/2023,88,89,87.5,88.2,308229
7/20/2023,88,89.1,87.5,88,671278
7/19/2023,87,89.7,85.7,89.1,2289336
7/18/2023,85,87.5,84.7,86.7,1560032
7/17/2023,80.5,86,80.4,84.5,2532825
7/14/2023,80,81,79,80.2,302121
7/13/2023,81,81,78,78.3,874786
